Get 1
Put 1 1000
Get 1 
Put 1 20
Get 1
Put X8KRO X64QA
Put 65LOI ZLVRM
Put ZJWEP 9OTFS
Put QJVEZ N37IZ
Put SC0PE GDYBA
Put L63CP OB7OE
Put E2NEH API3J
Put CKS2R B3RQ3
Put Z2RB7 RDU1V
Put GCJP4 UEQAP
Put D7OGA YEABF
Put FWJKN EZKG6
Put 0A6HR 9850V
Put IU8LR A5TKB
Put 772PP HFWJL
Put B0L8Y B4T4V
Put PQCLS U9BS0
Put GOSEM 0Q5HJ
Put YLGO7 AT3KV
Put ZXZRI QX7N2
Put QB0G5 MSPSY
Put 7ZAGN DB12Z
Put UZFG5 Y4XZW
Put 7X53V ZXT19
Put Q4OUU LVZ7Q
Put LX9PB 0NK6I
Put RMH40 8QUZ2
Put INU85 ITQT6
Put B2UEI 6KBCF
Put MU59H W1OYL
Put H6CDN PHGAF
Put K8JIS CN3EY
Put 4XWB2 J5Q82
Put LXKNN SXPRH
Put 36KH2 O52RA
Put SKE59 0M70E
Put UV6TK EISSY
Put 7MT7O B16I3
Put 3Y8NL 25FBM
Put ZW5Q3 U5KY6
Put J9N6X 50FMF
Put CIBYA EIG46
Put 919XQ DP5WB
Put ZD8WW X8ZNB
Put T3P4H SUZ18
Put EBY2M GXZDD
Put YHEA1 AXUCA
Put 3L51S FQ2RA
Put GFEYR J81GZ
Put FF1GI B8YBQ
Put Q6038 T2J1L
Put TR22L 4PNBH
Put H87WW ZVRTN
Put E89LS 8YUX9
Put ODTFK 69R0Q
Put 10YHW UCCE9
Put 4GES5 KLY7Q
Put J9RMU ALE5W
Put F3KHJ F5E55
Put 5V5W4 XXIJ9
Put ZSNLX IJBZE
Put B3XPO 1RGZA
Put TNHMW B68X4
Put UV27P P2CCJ
Put 62Q7U HJ9U1
Put G9EMC 3QZ97
Put 3MTD7 JQ35G
Put 83XGG DVRUB
Put HORE0 F7TVN
Put TD7D2 PJ6V4
Put BJOSD AFS8A
Put 7L0PV ILAXZ
Put 1BHB4 D49S5
Put 93ESL JN9HS
Put 1JR7R JW58P
Put LHH8G 8LT3F
Put IEOH7 QP2MH

Put RWYMC MW9M5
Put QUZK0 HKTJR
Put JZXTX M584B
Put 8Z1U9 O4XSU
Put NDUK6 I4VXG

Put AELPD PW8YH
Put 9SIZT H9RS5
Put JC01M NNVVN
Put N5GUF SZOBQ
Put LO0QC MSQTB

Put ZVXK4 K11YE
Put RSGNB OAMZX
Put SR7OC KGY76
Put ZKGLU 508QD
Put VKU1F 9E85E
Put 3E4X7 21EJN
Put UTCZF C83W5
Put CFZP6 05ZWA
Put LW01E QRHKF
Put E62AZ 2SWRB
Put L9Z9R 1W237
Put KVTWG L98UC
Put ZZ9UH 8D8S2
Put PHCYU UIBBJ
Put B84CO C3IOR
Put 2TJWF KZA8H
Put D5V4H 423PD
Put N0717 15N8F
Put GMUOE FTPWF
Put Z2MPU TBFTU
Put I5D3V WWGX4
Put 6KX3M 1TCRP
Put RR5AD CEYCI
Put 6D5NK G3XLO
Put MJ7M1 WUXVS
Put P6CKI ZKGGA
Put TIWU7 SBX6G
Put DTJR5 XQT1H
Put XBM3T UDNXJ
Put WW8RU MF4FE
Put VZSAO MAETS
Put 9M788 XQO5Z
Put FRXLT ZSUM5
Put V1VGK L1D0R
Put RWSD8 7VLFY
Put BBUQT TZ4LS
Put 627JL NL9OS
Put VJ186 1XKX1
Put X7KSP 9HC8K
Put HCFP1 7K2J8
Put OXNUH Q2PMP
Put 6CUCD ABUHK
Put TN3P4 ZPK7U
Put S9TK3 7X2EZ
Put 8QCU9 TXPCV
Put 8WGCT 92TKC
Put 64OEM 7QMCV
Put NL9IH L946H
Put CUBLU 8KEX5
Put P1U12 AYA0M
Put 6QRUD R300X
Put C9CUE PF2VD
Put O2TNL AMSAW
Put LZMSY 93FSH
Put U60OY S101M
Put 170V0 HWKU1
Put LS62Q 3L3ZS
Put 3AG6C HOHK2
Put 4XI8O H3SNP
Put 8J8ZI OHCNZ
Put 1UVW1 6W2FD
Put WYZ3Q S2T7R
Put VELOP AZ5W5
Put 1BTWC K1P0A
Put K5I9W NBQO8
Put Z5E21 84AVD
Put O1QBH 122QW
Put O5D8D 2INXL
Put GH6FF PZJ2I
Put PMCVF 7UHHD
Put FP7D6 5J0U9
Put X8WA4 CKRBZ
Put 3GTXX TAKIC
Put JCZCG D9X0D
Put BK7TX EMB1X
Put NECSQ MPTWH
Put T4PO2 J91I0
Put SJ6S9 5TJAF
Put RDCF0 TAA89
Put 8GCC4 NKFJL
Put RBDT0 78XZ5
Put L10N8 NZOWY
Put HSXTO RCNO2
Put TZFBB J08QO
Put X248S PTISV
Put G44X4 1APW9
Put H7R9G DQ2XL
Put JYIFR QJMVH
Put 2HAB7 38888
Put X7ET3 ZHLE3
Put 46MXZ O3WU0
Put C68OO ZLBAK
Put 8N24C R7K1R
Put WGZSH DRYHU
Put YUKDM 3F2L3
Put FMPCT GZ7YP
Put K6TRY P4H2V
Put KH5S5 ZV6J9
Put ACY3Y BJPWV
Put 2WMYO TURHN
Put XZFJJ NQ6ID
Put CFZQH XLCME
Put JH47N WEDTG
Put 2OAV4 4ET5U
Put 83VTQ QKYXK
Put S1IE4 XZC69
Put 77EWA 2SNNG
Put SL68U ZO7VU
Put SRXFI 7POMC
Put PY27U SM21Y
Put 1C49Y 082YH
Put 1V7I6 VHIZ9
Put 5243R XI1PW
Put ZZRKO L2724
Put U3G4B YVL09
